



boy         Junge           garçon      puer            erkek çocuk
girl        Mädchen         fille       puella          kiz
woman       Frau            femme       femina          kadin
man         Mann            homme       vir             adam/erkek
mother      Mutter          mère        mater           anne
father      Vater           père        pater           baba
son         Sohn            fils        filius          oğul
daughter    Tochter         fille       filia           kız çocuğu
sister      Schwester       sœur        soror           kızkardeş

I           ich             je          ego             ben
you         du              tu          tu              sen
he          er              il          is              o
she         sie             elle        ea              o
we          wir             nous        nos             biz
they        sie             ils         ei              onlar

and         und             et          et              ve
or          oder            ou          vel             veya
but         aber            mais        sed             ama

cat         Katze           chat        cattus          kedi
dog         Hund            chien       canis           köpek
horse       Pferd           cheval      equus           at

eat         essen           manger      comeder         yemek
drink       trinken         boire       bibere          içmek


