basement 			(n) {B2} {houses and homes} {buildings} подвал, фундамент
chamber 			(n) {C1} камера, {C1} {politics} палата, {C2} {buildings} комната; (adj) камерный
chambers 			-es: (n) {C1} камера, {C1} {politics} палата, {C2} {buildings} комната
construction 			(n) {B2} {buildings} строительство, конструкция, построение
constructions 			-es: (n) {B2} {buildings} строительство, конструкция, построение
entrance 			(n) {B1} {houses and homes} {buildings} вход, въезд; (adj) входной, вступительный; (v) восхищать, восторгать
entrances 			-es: (n) {B1} {houses and homes} {buildings} вход, въезд; -es: (v) восхищать, восторгать
exterior 			(n) {C1} {houses and homes} {buildings} экстерьер, внешность, наружность; (adj) {C1} {buildings} внешний, наружный
floor 			(n) {A2} {holidays} {houses and homes} {building} этаж, {A1} {houses and homes} {buildings} пол
floors 			-es: (n) {A2} {holidays} {houses and homes} {building} этаж, {A1} {houses and homes} {buildings} пол
fort 			(n) {C1} {history} {buildings} форт
forts 			-es: (n) {C1} {history} {buildings} форт
frame 			(n) {B1} {art} рамка, {C1} {film and theatre} кадр, {B1} {buildings} каркас; (adj) рамочный; (v) {B1} {art} обрамлять, сооружать, составлять
frame of reference 			(n) {B1} {art} рамка, {C1} {film and theatre} кадр, {B1} {buildings} каркас; (adj) рамочный; (v) {B1} {art} обрамлять, сооружать, составлять
frames 			-es: (n) {B1} {art} рамка, {C1} {film and theatre} кадр, {B1} {buildings} каркас; -es: (v) {B1} {art} обрамлять, сооружать, составлять
interior 			(n) {C1} {houses and homes} интерьер, внутренность, внутренний мир, сущность; (adj) {C1} {houses and homes} {buildings} внутренний
mosque 			(n) {B2} {religion and festivals} {buildings} мечеть
mosques 			-es: (n) {B2} {religion and festivals} {buildings} мечеть
rough 			(adj) {B1} грубый, {B2} {buildings} черновой, {B2} приблизительный, бурный
roughly 			-ly: (adj)->(adv) {B1} грубый, {B2} {buildings} черновой, {B2} приблизительный, бурный
rural 			(adj) {B2} {geography} {buildings} сельский
urban 			(adj) {B2} {geography} {buildings} городской
