access 			(n) {B1} доступ; (v) {B1} {computers} обращаться, иметь доступ
accessed 			-ed: (v) {B1} {computers} обращаться, иметь доступ
accesses 			-es: (n) {B1} доступ; -es: (v) {B1} {computers} обращаться, иметь доступ
accessing 			-ing: (v) {B1} {computers} обращаться, иметь доступ
ai 			(abbr) {C2} {computers} Artificial intelligence
alert 			(n) {C1} {danger} {war and conflict} {computers} {phones, email and internet} тревога; (adj) {C1} {danger} бдительный; (v) {C1} {danger} {war and conflict} объявлять тревогу
alerts 			-es: (n) {C1} {danger} {war and conflict} {computers} {phones, email and internet} тревога; -es: (v) {C1} {danger} {war and conflict} объявлять тревогу
array 			(n) {C2} {computers} массив, {C1} множество, {C2} {maths and measurement} таблица; (v) выстраивать
arrays 			-es: (n) {C2} {computers} массив, {C1} множество, {C2} {maths and measurement} таблица; -es: (v) выстраивать
authenticate 			(v) {C2} {computers} удостоверять, аутентифицировать, устанавливать подлинность
authenticated 			-ed: (v) {C2} {computers} удостоверять, аутентифицировать, устанавливать подлинность
authenticates 			-es: (v) {C2} {computers} удостоверять, аутентифицировать, устанавливать подлинность
debug 			(v) {C1} {computers} отлаживать; (n) {C1} {computers} отладка
debugging 			-ing: (v) {C1} {computers} отлаживать
filter 			(n) {C1} {scientific reseach} {C2} {phones, email and the internet} {computers} фильтр; (v) {C1} фильтровать
filters 			-es: (n) {C1} {scientific reseach} {C2} {phones, email and the internet} {computers} фильтр; -es: (v) {C1} фильтровать
firmware 			(n) {C2} {computers} прошивка
function 			(n) {C1} {maths and measurement} {C2} {computers} функция, {B1} назначение; (v) {B2} функционировать, работать, действовать
functions 			-es: (n) {C1} {maths and measurement} {C2} {computers} функция, {B1} назначение; -es: (v) {B2} функционировать, работать, действовать
network 			(n) {A2} {business} {computers} {tv, radio and news} сеть; (v) {B2} {computers} {C1} {business} создавать сеть, передавать по радиосети
networked 			-ed: (v) {B2} {computers} {C1} {business} создавать сеть, передавать по радиосети
networking 			-ing: {C1} {business} (v) {B2} {computers} {C1} {business} создавать сеть, передавать по радиосети
networks 			-es: (n) {A2} {business} {computers} {tv, radio and news} сеть; -es: (v) {B2} {computers} {C1} {business} создавать сеть, передавать по радиосети
pointer 			(n) {C2} {computers} указатель, {C2} {suggestions and advice} указка, стрелка
pointers 			-es: (n) {C2} {computers} указатель, {C2} {suggestions and advice} указка, стрелка
system 			(n) {A1} {B1} {computers} система
systems 			-es: (n) {A1} {B1} {computers} система
