certainties 			-es: (n) {B2} {doubt, guessing and certainty} уверенность
certainty 			(n) {B2} {doubt, guessing and certainty} уверенность
confusion 			(n) {B2} {doubt, guessing and certainty} путаница, замешательство
doubt 			(v)(stative) {B1} {doubt, guessing and certainty} сомневаться, подозревать; (n) {B1} {doubt, guessing and certainty} сомнение
doubted 			-ed: (v)(stative) {B1} {doubt, guessing and certainty} сомневаться, подозревать
doubts 			-es: (v)(stative) {B1} {doubt, guessing and certainty} сомневаться, подозревать; -es: (n) {B1} {doubt, guessing and certainty} сомнение
guess 			(n) {A1} {opinion and argument} {doubt, guessing and certainty} предположение, догадка; (v) {A1} {opinion and argument} {doubt, guessing and certainty} догадываться, угадывать
guessed 			-ed: (v) {A1} {opinion and argument} {doubt, guessing and certainty} догадываться, угадывать
guesses 			-es: (n) {A1} {opinion and argument} {doubt, guessing and certainty} предположение, догадка; -es: (v) {A1} {opinion and argument} {doubt, guessing and certainty} догадываться, угадывать
guessing 			-ing: (v) {A1} {opinion and argument} {doubt, guessing and certainty} догадываться, угадывать
true 			(adj) {A1} {doubt, guessing and certainty} {opinion and argument} истинный, настоящий, верный; (n) истина
