ac 			(abbr) {C2} {engineering} Alternating current, Aicraft carrier, Anno Domini = Before Christ (BC)
ampere 			(n) {C2} {maths and measurement} {engineering} ампер
appliance 			(n) {B2} {engineering} прибор, устройство, приспособление, применение
appliances 			-es: (n) {B2} {engineering} прибор, устройство, приспособление, применение
arm 			(n) {A1} {body} рука, {C1} {engineering} рычаг, рукоятка; (v) {C1} {war and conflict} вооружиться, вооружать
arms 			-es: (n) {A1} {body} рука, {C1} {engineering} рычаг, рукоятка; -es: (v) {C1} {war and conflict} вооружиться, вооружать
engineer 			(n) {A2} {jobs} {engineering} {B1} {transport by water} {transport by air} инженер; (v) проектировать
engineering 			-ing: {B1} {engineering} {jobs} {scientific research} {education} (v) проектировать
engineers 			-es: (n) {A2} {jobs} {engineering} {B1} {transport by water} {transport by air} инженер; -es: (v) проектировать
voltage 			(n) {C2} {engineering} напряжение
voltages 			-es: (n) {C2} {engineering} напряжение
wire 			(n) {B2} {engineering} провод, проволока; (v) телеграфировать, скреплять проволокой
wires 			-es: (n) {B2} {engineering} провод, проволока; -es: (v) телеграфировать, скреплять проволокой
