cliff 			(n) {B2} {geography} утес, отвесная скала
cliffs 			-es: (n) {B2} {geography} утес, отвесная скала
fork 			(n) {A2} {cooking and eating} вилка, {B2} {gardens} вилы, {C1} {geography} {transport by car or lorry} развилка, ответвление; (v) {C1} {transport by car or lorry} разветвляться
forks 			-es: (n) {A2} {cooking and eating} вилка, {B2} {gardens} вилы, {C1} {geography} {transport by car or lorry} развилка, ответвление; -es: (v) {C1} {transport by car or lorry} разветвляться
rural 			(adj) {B2} {geography} {buildings} сельский
survey 			(n) {A2} {opinion and argument} {scientific research} обзор, обследование, исследование, {C1] {houses and homes} осмотр; (v) {C1} {geography} {houses and homes} обследовать
surveyed 			-ed: (v) {C1} {geography} {houses and homes} обследовать
surveying 			-ing: (v) {C1} {geography} {houses and homes} обследовать
surveys 			-es: (n) {A2} {opinion and argument} {scientific research} обзор, обследование, исследование, {C1] {houses and homes} осмотр; -es: (v) {C1} {geography} {houses and homes} обследовать
urban 			(adj) {B2} {geography} {buildings} городской
waterfall 			(n) {B1} {geography} водопад
waterfalls 			-es: (n) {B1} {geography} водопад
