antenna 			(n) {C1} {insects, worms, etc} {engineering} {tv, radio and news} {houses and homes} антенна
antennas 			-es: (n) {C1} {insects, worms, etc} {engineering} {tv, radio and news} {houses and homes} антенна
basement 			(n) {B2} {houses and homes} {buildings} подвал, фундамент
bath 			(n) {A1} {houses and homes} ванна, баня, купание; (v) купать
bathroom 			(n) {A1} {houses and homes} ванная
bathrooms 			-es: (n) {A1} {houses and homes} ванная
baths 			-es: (n) {A1} {houses and homes} ванна, баня, купание; -es: (v) купать
bed 			(n) {A1} {houses and homes} кровать, {B2} {geography} дно
bedroom 			(n) {A1} {houses and homes} спальня
bedrooms 			-es: (n) {A1} {houses and homes} спальня
beds 			-es: (n) {A1} {houses and homes} кровать, {B2} {geography} дно
bin 			(n) бункер, {A2} {houses and homes} мусорное ведро, ящик; (v) хранить; (abbr) binary
bins 			-es: (n) бункер, {A2} {houses and homes} мусорное ведро, ящик; -es: (v) хранить
blind 			(adj) {B2} {disability} слепой; (n) {C1} {houses and homes} жалюзи, штора; (v) ослеплять, слепить
blinds 			-es: (n) {C1} {houses and homes} жалюзи, штора; -es: (v) ослеплять, слепить
brush 			(n) {A2} {houses and homes} {art} кисть, щетка; (v) касаться, чистить щеткой, {A2} {appearance} причесывать
brushes 			-es: (n) {A2} {houses and homes} {art} кисть, щетка; -es: (v) касаться, чистить щеткой, {A2} {appearance} причесывать
chair 			(n) {A1} {houses and homes} стул, кресло, {B2} {working life} председатель; (v) {B2} {working life} председательствовать
chairs 			-es: (n) {A1} {houses and homes} стул, кресло, {B2} {working life} председатель; -es: (v) {B2} {working life} председательствовать
cooker 			(n) {A2} {houses and homes} {coking and eating} плита, печь, кастрюля
cookers 			-es: (n) {A2} {houses and homes} {coking and eating} плита, печь, кастрюля
curtain 			(n) {B1} {houses and homes} {film and theatre} занавес, занавеска
curtains 			-es: (n) {B1} {houses and homes} {film and theatre} занавес, занавеска
cushion 			(n) {C1} {houses and homes} подушка; (v) смягчать
cushions 			-es: (n) {C1} {houses and homes} подушка; -es: (v) смягчать
decoration 			(n) {B2} {religion and festivals} {houses and homes} украшение, декор
decorations 			-es: (n) {B2} {religion and festivals} {houses and homes} украшение, декор
dining+room 			(n) {A1} {houses and homes} столовая
door 			(n) {A1} {houses and homes} дверь, дверца; (adj) дверной
doors 			-es: (n) {A1} {houses and homes} дверь, дверца
duplex 			(n) {C2} {houses and homes} дуплекс; (adj) {C2} {computers} дуплексный, {C2} {houses and homes} двойной, спаренный
entrance 			(n) {B1} {houses and homes} {buildings} вход, въезд; (adj) входной, вступительный; (v) восхищать, восторгать
entrances 			-es: (n) {B1} {houses and homes} {buildings} вход, въезд; -es: (v) восхищать, восторгать
extension 			(n) {B1} {C1} {houses and homes} {buildings} {phones, email and the internet} расширение, продление, продолжение, удлинение, распространение
extensions 			-es: (n) {B1} {C1} {houses and homes} {buildings} {phones, email and the internet} расширение, продление, продолжение, удлинение, распространение
exterior 			(n) {C1} {houses and homes} {buildings} экстерьер, внешность, наружность; (adj) {C1} {buildings} внешний, наружный
floor 			(n) {A2} {holidays} {houses and homes} {building} этаж, {A1} {houses and homes} {buildings} пол
floors 			-es: (n) {A2} {holidays} {houses and homes} {building} этаж, {A1} {houses and homes} {buildings} пол
freezer 			(n) {B1} {houses and homes} морозилка, мороженица, камера замораживания
freezers 			-es: (n) {B1} {houses and homes} морозилка, мороженица, камера замораживания
