ampere 			(n) {C2} {maths and measurement} {engineering} ампер
array 			(n) {C2} {computers} массив, {C1} множество, {C2} {maths and measurement} таблица; (v) выстраивать
arrays 			-es: (n) {C2} {computers} массив, {C1} множество, {C2} {maths and measurement} таблица; -es: (v) выстраивать
function 			(n) {C1} {maths and measurement} {C2} {computers} функция, {B1} назначение; (v) {B2} функционировать, работать, действовать
functions 			-es: (n) {C1} {maths and measurement} {C2} {computers} функция, {B1} назначение; -es: (v) {B2} функционировать, работать, действовать
herts 			(n) {C2} {maths and measurement} Герцы
kilogram 			(n) {A2} {cooking and eating} {maths and measurement} килограмм
kilograms 			-es: (n) {A2} {cooking and eating} {maths and measurement} килограмм
meter 			(n) (US) {A1} {maths and measurement} метр, (UK) = meter; (v) измерять
meters 			-es: (n) (US) {A1} {maths and measurement} метр, (UK) = meter; -es: (v) измерять
metre 			(n) (UK) {A1} {maths and measurement} метр, (US) = meter; (v) измерять
metres 			-es: (n) (UK) {A1} {maths and measurement} метр, (US) = meter; -es: (v) измерять
solid 			(adj) {B1} твердый, {C1} {colours and shapes} сплошной; (n) {B1} {physics and chemistry} {C1} {colour and shapes} {maths and measurement} твердое тело
solids 			-es: (n) {B1} {physics and chemistry} {C1} {colour and shapes} {maths and measurement} твердое тело
