cctv 			(abbr) {C1} {shopping} Closed Circuit Television
dummies 			-es: (n) {C2} {clothes and fashion} {shopping} манекен, {C2} {life stages} кукла, болван, чучело, макет, заглушка
dummy 			(n) {C2} {clothes and fashion} {shopping} манекен, {C2} {life stages} кукла, болван, чучело, макет, заглушка; (adj) фиктивный, холостой
payment 			(n) {B1} {money} {shopping} оплата, платеж, плата
payments 			-es: (n) {B1} {money} {shopping} оплата, платеж, плата
queue 			(n) {B1} {shopping} {transport by car or lorry} очередь, хвост; (v) {B1} {shopping} стоять в очереди
queued 			-ed: (v) {B1} {shopping} стоять в очереди
queueing 			-ing: (v) {B1} {shopping} стоять в очереди
queues 			-es: (n) {B1} {shopping} {transport by car or lorry} очередь, хвост; -es: (v) {B1} {shopping} стоять в очереди
splurge 			(v) {C2} {shopping} тратить деньги, бахвальство
stall 			(n) {B2} {shopping} киоск, ларек, кабинка, прилавок, {C2} {farming} стойло; (v) глохнуть, обманывать
stalls 			-es: (n) {B2} {shopping} киоск, ларек, кабинка, прилавок, {C2} {farming} стойло; -es: (v) глохнуть, обманывать
