
(adj)

(adv)

(v)

(n)

(prep)

(conj)

(pron)
  741. (  2) 3T *#PT somewhere [ˈsʌmweə] (adv)(pron) {A2} где-то, где-нибудь

(pron)(determiner)
  702. (  2) 3T *#PT several [ˈsɛvrəl] (adv)(pron) {A2} несколько; (adj) некоторые, каждый; (n) некоторое количество

==welcome-to-ajax==


  751. (  1) 3T *#PT stage [steɪʤ ] (n) этап, стадия, сцена; (adj) сценический, ступенчатый; (v) ставить
  753. (  1) 3T *#PT stamp [stæmp] (n) штамп, печать, марка; (v) штамповать
  759. (  1) 3T *#PT step [stɛp] (n) шаг, ступень; (v) шагать, ступать
  764. (  2) 3T *#PT straight [streɪt] (adj) {A2} {colours and shapes} {appearance} прямой; (adv) {A2} прямо; (n) гетеросексуал
  765. (  1) 3T *#PT strange [streɪnʤ ] (adj) странный, необыкновенный
  766. (  1) 3T *#PT strategy [ˈstrætɪʤ i] (n) стратегия, оперативное искусство
  769. (  1) 3T *#PT stupid [ˈstjuːpɪd] (adj) глупый, тупой, дурацкий
  772. (  2) 3T *#PT such [sʌʧ] (pron) {A2} такой, такие, те; (adj) такой, определенный
  779. (  1) 3T *#PT sure [ʃʊə] (adj) верный, {A1} {personal qualities} {B1} {doubt, guessing and certainty} уверенный; (adv) {A2} конечно, непременно
  780. (  2) 3T *#PT surprise [(UK)səˈpraɪz/(US)sərˈpraɪz/səˈpraɪz] (n) {A2} сюрприз, {A2} {feelings} удивление, неожиданность; (v) {A2} {feelings} удивлять; (adj) неожиданный
  783. (  1) 3T ?#PT survey [ˈsɜːveɪ->(n)/sɜːˈveɪ->(v)] (n) {A2} {opinion and argument} {scientific research} обзор, обследование, исследование, {C1] {houses and homes} осмотр; (v) {C1} {geography} {houses and homes} обследовать -1
  786. (  1) 3T *#PT system [ˈsɪstɪm] (n) {A1} {B1} {computers} система
  788. (  1) 3T *#PT talk [tɔːk] (v) {A1} говорить, разговаривать; (n) {A2} разговор, беседа, болтовня
  796. (  1) 3T *#PT term [tɜːm] (n) {A2} {B1} {time} {B2} {crime and punishment} {C1} {discussion and agreement} срок, термин, член, выражение, {B1} {education} семестр, элемент; (v) {B2} называть, выражать
  798. (  1) 3T *#PT themselves [ðəmˈsɛlvz] (pron)(reflexive) {A2} самих себя, they-them-their-theirs-themselves
  799. (  1) 3T *#PT thick [θɪk] (adj) {A2} {B1} {appearance} толстый, {B1} {cooking and eating} густой



  803. (  1) 4T *#PT third [θɜːd] {A1} -th: (num) {A1} 3; (adv) в третьих
  804. (  1) 3T *#PT thought [θɔːt] -1,2ed: (v) think-thought-thought; (n) мысль, мышление, дума
  806. (  2) 3T ?#PT tidy [ˈtaɪdi] (adj) {A2} опрятный, аккуратный, чистый; (v) {A2} убирать
  807. (  2) 3T *#PT tie [taɪ] (n) {A2} {clothes and fashion} галстук, {B2} {family and relationships} связь, {sports: ball and racket sports} ничья; (v) {A2} связать, завязать, tie-tied-tied -1
  809. (  1) 3T *#PT tool [tuːl] (n) инструмент, орудие
  810. (  2) 3T *#PT top [tɒp] (adj) {A2} верхний, высший; (n) {A2} верх; {A2} {clothes and fashion} = a piece of clothing worn on the upper part of the body; (v) {C1} {success} быть первым, превышать -1
  811. (  1) 3T *#PT touch [tʌʧ] (n) прикосновение, штрих; (v) коснуться, трогать; (adj) сенсорный
  814. (  1) 3T *#PT towards [təˈwɔːdz] (prep) к, в направлении, по отношению к, по направлению к, навстречу
  815. (  1) 3T ?#PT towel [ˈtaʊəl/taʊl] (n) {A2} полотенце, гигиенический женский пакет
  824. (  1) 3T *#PT transport [ˈtrænspɔrt->(n)/trænˈspɔrt->(v)] (n) транспорт, перевозка; (v) транспортировать, перевозить; (adj) транспортный
  828. (  2) 3T ?#PT twin [twɪn] (n) {A2} {holidays} {family and relationships} близнец; (adj) {A2} двойной -2
  829. (  1) 3T *#PT typical [ˈtɪpɪk(ə)l] (adj) типичный, символический
  830. (  2) 3T *#PT underground [ˈʌndəgraʊnd] (n) {A2} {transport by bus and train} метро; (adj) {A2} подземный; (adv) {A2} под землей -1
  831. (  1) 3T *#PT understanding [ˌʌndəˈstændɪŋ] -ing: (v)(stative) {A1} понять; I: understand-understood-understood
  832. (  1) 3T *#PT unfortunately [ʌnˈfɔːʧnɪtli] un- & -ly: (adj)->(adv) удачливый, счастливый, благоприятный
  835. (  1) 3T *#PT unit [ˈjunət/ˈjunɪt] (n) блок, единица, подразделение, элемент, единица измерения; (adj) единичный
  836. (  1) 3T *#PT united [juːˈnaɪtɪd] -ed: (v) объединять, объединяться
  837. (  1) 3T *#PT unusual [ʌnˈjuːʒʊəl] un-: (adj) обычный
  839. (  1) 3T *#PT use [juːz->(v)/juːs->(n)] (v) {A1} использовать; (n) {A2} использование
  840. (  1) 3T *#PT used [juːzd] {B1} {transport by car or lorry} -ed: (v) {A1} использовать
  842. (  1) 3T *#PT usual [ˈjuːʒʊəl] (adj) обычный
  845. (  1) 3T ?#PT variety [vəˈraɪəti] (n) разнообразие, множество
  847. (  1) 3T *#PT view [vjuː] (n) {A2} вид, {A2} {opinion and argument} мнение, взгляд, точка зрения; (v) {B1} рассматривать, {B1} {tv, radio and news} смотреть -1
  849. (  1) 3T *#PT voice [vɔɪs] (n) {A2} {music} {B2} {language} {C1} {opinion and argument} голос, глас; (adj) голосовой; (v) {C1} {opinion and argument} выражать, {C1} {language} произносить звонко
  850. (  1) 3T *#PT wait [weɪt] (v) {A1} ждать, подождать, дожидаться; (n) {A2} ожидание
